condition,window,state,observed,predicted,n_cases
ispinesib,day0 -> ispi_d6,4,0.11581632653061225,0.08842751747734769,126
ispinesib,day0 -> ispi_d6,5,0.0,0.0026995746060898204,126
ispinesib,day0 -> ispi_d69,0,0.1206665111498729,0.1337881807649548,167
ispinesib,day0 -> ispi_d69,1,0.0,0.0026626315601679484,167
ispinesib,day0 -> ispi_d69,2,0.010196274118429808,0.014183705199950505,167
ispinesib,day0 -> ispi_d69,3,0.7729374349543616,0.7642690200274592,167
ispinesib,day0 -> ispi_d69,4,0.09619977977733572,0.08243011399594051,167
ispinesib,day0 -> ispi_d69,5,0.0,0.002666348451527041,167
ispinesib,day0 -> ispi_d98,0,0.16512324468125159,0.14558870001212182,98
ispinesib,day0 -> ispi_d98,1,0.0,0.002709092754523456,98
ispinesib,day0 -> ispi_d98,2,0.04226313909712084,0.014172960415891831,98
ispinesib,day0 -> ispi_d98,3,0.7573743257755027,0.7453313876306923,98
ispinesib,day0 -> ispi_d98,4,0.03523929044612503,0.08948497783959236,98
ispinesib,day0 -> ispi_d98,5,0.0,0.0027128813471780184,98
ispinesib,ispi_d21 -> ispi_d139,0,0.0,0.12816788186797667,91
ispinesib,ispi_d21 -> ispi_d139,1,0.0,0.0030441530252269815,91
ispinesib,ispi_d21 -> ispi_d139,2,0.031135531135531132,0.027564348279623656,91
ispinesib,ispi_d21 -> ispi_d139,3,0.8846153846153846,0.7323923400388416,91
ispinesib,ispi_d21 -> ispi_d139,4,0.08424908424908424,0.10578293729012109,91
ispinesib,ispi_d21 -> ispi_d139,5,0.0,0.0030483394982098073,91
ispinesib,ispi_d21 -> ispi_d42,0,0.07398680455452714,0.14033913051401706,169
ispinesib,ispi_d21 -> ispi_d42,1,0.0,0.003184957886312926,169
ispinesib,ispi_d21 -> ispi_d42,2,0.0067061143984220905,0.03079025953220932,169
ispinesib,ispi_d21 -> ispi_d42,3,0.7964847764400724,0.7033723301446049,169
ispinesib,ispi_d21 -> ispi_d42,4,0.12282230460697838,0.11912398425132555,169
ispinesib,ispi_d21 -> ispi_d42,5,0.0,0.0031893376715303127,169
ispinesib,ispi_d21 -> ispi_d69,0,0.1206665111498729,0.1343661460759548,167
ispinesib,ispi_d21 -> ispi_d69,1,0.0,0.003169960807286997,167
ispinesib,ispi_d21 -> ispi_d69,2,0.010196274118429808,0.030869308876967073,167
ispinesib,ispi_d21 -> ispi_d69,3,0.7729374349543616,0.7107221707280074,167
ispinesib,ispi_d21 -> ispi_d69,4,0.09619977977733572,0.1176980984845589,167
ispinesib,ispi_d21 -> ispi_d69,5,0.0,0.0031743150272248075,167
ispinesib,ispi_d21 -> ispi_d98,0,0.16512324468125159,0.13383875917914498,98
ispinesib,ispi_d21 -> ispi_d98,1,0.0,0.0030601993320332165,98
ispinesib,ispi_d21 -> ispi_d98,2,0.04226313909712084,0.027750076668520855,98
ispinesib,ispi_d21 -> ispi_d98,3,0.7573743257755027,0.7235565015012255,98
ispinesib,ispi_d21 -> ispi_d98,4,0.03523929044612503,0.10873004169722819,98
ispinesib,ispi_d21 -> ispi_d98,5,0.0,0.0030644216218474315,98
ispinesib,ispi_d3 -> ispi_d139,0,0.0,0.07490182911723989,91
ispinesib,ispi_d3 -> ispi_d139,1,0.0,0.002557125348745323,91
ispinesib,ispi_d3 -> ispi_d139,2,0.031135531135531132,0.017180304044693118,91
ispinesib,ispi_d3 -> ispi_d139,3,0.8846153846153846,0.8406308591513088,91
ispinesib,ispi_d3 -> ispi_d139,4,0.08424908424908424,0.062169248555167145,91
ispinesib,ispi_d3 -> ispi_d139,5,0.0,0.002560633782845724,91
ispinesib,ispi_d3 -> ispi_d21,0,0.28096023888103094,0.08254591952459248,101
ispinesib,ispi_d3 -> ispi_d21,1,0.0,0.0026544584581748762,101
ispinesib,ispi_d3 -> ispi_d21,2,0.022316517366022318,0.019906378345709404,101
ispinesib,ispi_d3 -> ispi_d21,3,0.6565692283514065,0.8216212344445268,101
ispinesib,ispi_d3 -> ispi_d21,4,0.04015401540154015,0.07061390203055488,101
ispinesib,ispi_d3 -> ispi_d21,5,0.0,0.0026581071964415872,101
ispinesib,ispi_d3 -> ispi_d42,0,0.07398680455452714,0.08206985314778856,169
