dataset_id,partition,method,stratum,n,prevalence,brier,nll,ece,calibration_slope,calibration_intercept,auprc,auroc,top10_enrichment,integrated_brier,joint_nll,state_n,state_cross_entropy,state_brier,state_total_variation,state_top1_agreement,abstention_rate
GSE239651_expt1,development_outer_oof,random_forest,source_ct_1,34314.0,0.0524858658273591,0.0377074322281927,0.1513428317712639,0.0082340335628364,1.0199148680396306,-0.0240357115319829,0.4071625315336924,0.8079685564803676,5.668081640735721,0.0375580996326339,0.1513428317712639,0.0,,,,,0.0
GSE239651_expt1,development_outer_oof,random_forest,source_ct_2_3,2142.0,0.734827264239029,0.1754834546324624,0.5280411025440618,0.0241405187341359,0.9577472269648416,-0.0689884335139374,0.8605535406690866,0.6984861839397248,1.29756803876954,0.1755670421328413,0.5280411025440618,0.0,,,,,0.0
GSE239651_expt1,development_outer_oof,random_forest,source_ct_4_plus,1554.0,0.96010296010296,0.0362478682261224,0.1536271210870934,0.0112733143796418,0.7376935857426865,0.7311932917060748,0.9831543011067811,0.7408112081639713,1.0282016910703238,0.036329452894949,0.1536271210870934,0.0,,,,,0.0
GSE239651_expt1,development_outer_oof,extra_trees,all,38010.0,0.1280452512496711,0.045277149520772,0.1733286009127237,0.0109643584559633,1.015556654839541,-0.0226036734161707,0.8089934572234698,0.9173825062165164,6.566673515512636,0.0451329396646223,0.1733286009127237,0.0,,,,,0.0
GSE239651_expt1,development_outer_oof,extra_trees,source_ct_1,34314.0,0.0524858658273591,0.0375770859795508,0.1520680377492715,0.0092724393561346,1.0228743219402363,0.0169218672566497,0.4080616837481335,0.7974138324852009,5.579257638530264,0.0374354728259542,0.1520680377492715,0.0,,,,,0.0
GSE239651_expt1,development_outer_oof,extra_trees,source_ct_2_3,2142.0,0.734827264239029,0.1745623697738328,0.5278381522709226,0.0431213421974883,1.1579723219178342,-0.3496216042675759,0.8559694746210984,0.7015392066503212,1.221612836500103,0.1742096028983703,0.5278381522709226,0.0,,,,,0.0
GSE239651_expt1,development_outer_oof,extra_trees,source_ct_4_plus,1554.0,0.96010296010296,0.0370989246632466,0.1541365194335979,0.0233958067217868,1.2546461686618795,-0.1056436476749484,0.9868495162299036,0.7787663236184381,1.0282016910703238,0.0371848472935591,0.1541365194335979,0.0,,,,,0.0
GSE239651_expt1,development_outer_oof,hist_gradient_boosting,all,38010.0,0.1280452512496711,0.0495362905600739,0.1873132810302449,0.0137949826969627,1.0180150880710472,-0.0336056665568591,0.7960314575419339,0.9100351211706084,6.472159441134169,0.0493399763489503,0.1873132810302449,0.0,,,,,0.0
GSE239651_expt1,development_outer_oof,hist_gradient_boosting,source_ct_1,34314.0,0.0524858658273591,0.0415782522002038,0.1666966134938745,0.0116590331885557,1.1695729507009731,0.3523907380741816,0.334181068574014,0.7786772789282612,5.151792127916504,0.0414330137629982,0.1666966134938745,0.0,,,,,0.0
GSE239651_expt1,development_outer_oof,hist_gradient_boosting,source_ct_2_3,2142.0,0.734827264239029,0.1863480767448517,0.5478715592101636,0.0661513482685077,0.6056829319568809,0.2740037004143907,0.8787322964134653,0.7039524312328865,1.335545639904258,0.1851255039308433,0.5478715592101636,0.0,,,,,0.0
GSE239651_expt1,development_outer_oof,hist_gradient_boosting,source_ct_4_plus,1554.0,0.96010296010296,0.0366799728462968,0.1455658537339943,0.0062591167141291,0.7953565269615629,0.5222060787704044,0.9889591441389224,0.7979222520107239,1.0415549597855227,0.0367704229988502,0.1455658537339943,0.0,,,,,0.0
GSE239651_expt1,development_outer_oof,knn_standardized,all,38010.0,0.1280452512496711,0.0567934868387862,0.2376568137569689,0.0287660782698782,0.9109595729863638,-0.1811822900064218,0.7333617627105176,0.8716915388801432,6.5728374768851445,0.0567422094225129,0.2376568137569689,0.0,,,,,0.0
GSE239651_expt1,development_outer_oof,knn_standardized,source_ct_1,34314.0,0.0524858658273591,0.0441772327039704,0.1842150557702253,0.0193537978076904,0.9797215315501296,-0.285883898918436,0.278885240975782,0.6779661517701893,3.602923589458848,0.0440597552414749,0.1842150557702253,0.0,,,,,0.0
GSE239651_expt1,development_outer_oof,knn_standardized,source_ct_2_3,2142.0,0.734827264239029,0.2504869466858586,1.03524669888548,0.2285201608198865,0.0707726905963982,0.8955100642148447,0.8027902318463993,0.6273595352291641,1.0950208327177091,0.2516052544096665,1.03524669888548,0.0,,,,,0.0
GSE239651_expt1,development_outer_oof,knn_standardized,source_ct_4_plus,1554.0,0.96010296010296,0.0683911402426736,0.3183279525033324,0.0846284703955279,0.1388456436342539,2.324655342277417,0.9823790240378496,0.7277847444434835,1.0415549597855227,0.0681895005458423,0.3183279525033324,0.0,,,,,0.0
