dataset,panel,condition,time_days,method,seed,artifact,status,returncode,runtime_seconds,failure_reason,truth,cross_entropy,sinkhorn_divergence,top1_accuracy,multiclass_brier,predicted_confidence,observed_probability_of_predicted_class
GSE239651_expt2,gse239651_dmso_day6,DMSO,6,tigon,20260917,results/B3_prospective_composition/external_dynamics/tigon/gse239651_dmso_day6_seed20260917.npz,success,0,116.50757129999964,,data/derived/b3/evaluation_truth/gse239651_dmso_day6.npz,1.0443281132316218,0.0437239352823244,1.0,0.0529785973105019,0.4919053813817278,0.6176214376594862
GSE239651_expt2,gse239651_dmso_day6,DMSO,6,tigon,20260918,results/B3_prospective_composition/external_dynamics/tigon/gse239651_dmso_day6_seed20260918.npz,success,0,107.0824107999997,,data/derived/b3/evaluation_truth/gse239651_dmso_day6.npz,1.0400927214989828,0.0415113746514258,1.0,0.0529438574794169,0.4920759780713918,0.6176214376594862
GSE239651_expt2,gse239651_dmso_day6,DMSO,6,tigon,20260919,results/B3_prospective_composition/external_dynamics/tigon/gse239651_dmso_day6_seed20260919.npz,success,0,106.08582360000035,,data/derived/b3/evaluation_truth/gse239651_dmso_day6.npz,1.0421299204079324,0.0434164596500704,1.0,0.0522938501118152,0.4930823606107981,0.6176214376594862
GSE239651_expt2,gse239651_dmso_day6,DMSO,6,tigon,20260920,results/B3_prospective_composition/external_dynamics/tigon/gse239651_dmso_day6_seed20260920.npz,success,0,110.6642585999998,,data/derived/b3/evaluation_truth/gse239651_dmso_day6.npz,1.0455438105838946,0.0455950233058628,1.0,0.0535257944262386,0.4889331995752559,0.6176214376594862
GSE239651_expt2,gse239651_dmso_day6,DMSO,6,mioflow,20260916,results/B3_prospective_composition/external_dynamics/mioflow/gse239651_dmso_day6_seed20260916.npz,success,0,14.926148600000488,,data/derived/b3/evaluation_truth/gse239651_dmso_day6.npz,0.9867712479737538,0.0294825697651997,1.0,0.0096100424902748,0.6966248769335501,0.6176214376594862
GSE239651_expt2,gse239651_dmso_day6,DMSO,6,mioflow,20260917,results/B3_prospective_composition/external_dynamics/mioflow/gse239651_dmso_day6_seed20260917.npz,success,0,14.69445739999992,,data/derived/b3/evaluation_truth/gse239651_dmso_day6.npz,0.9761577795254678,0.0231087803502442,1.0,0.0018909468706494,0.6143396372529065,0.6176214376594862
GSE239651_expt2,gse239651_dmso_day6,DMSO,6,mioflow,20260918,results/B3_prospective_composition/external_dynamics/mioflow/gse239651_dmso_day6_seed20260918.npz,success,0,13.91017599999941,,data/derived/b3/evaluation_truth/gse239651_dmso_day6.npz,0.9924476010080994,0.0278741835829767,1.0,0.0070663822641806,0.6826069279900315,0.6176214376594862
GSE239651_expt2,gse239651_dmso_day6,DMSO,6,mioflow,20260919,results/B3_prospective_composition/external_dynamics/mioflow/gse239651_dmso_day6_seed20260919.npz,success,0,14.022097099999884,,data/derived/b3/evaluation_truth/gse239651_dmso_day6.npz,0.968150597485614,0.0125342033566239,1.0,0.0026068460292203,0.6289428350698956,0.6176214376594862
GSE239651_expt2,gse239651_dmso_day6,DMSO,6,mioflow,20260920,results/B3_prospective_composition/external_dynamics/mioflow/gse239651_dmso_day6_seed20260920.npz,success,0,13.102705799999969,,data/derived/b3/evaluation_truth/gse239651_dmso_day6.npz,0.9999722640493784,0.0470771822545301,1.0,0.0073075947151736,0.5747050156005142,0.6176214376594862
GSE239651_expt2,gse239651_dmso_day69,DMSO,69,source-carry-forward,20260916,results/B3_prospective_composition/external_dynamics/source-carry-forward/gse239651_dmso_day69_seed20260916.npz,success,0,0.2196296000001893,,data/derived/b3/evaluation_truth/gse239651_dmso_day69.npz,0.905026595273441,0.0720306082192917,1.0,0.204327930688437,0.4926808866583019,0.8021281364766628
GSE239651_expt2,gse239651_dmso_day69,DMSO,69,development-target-transfer,20260916,results/B3_prospective_composition/external_dynamics/development-target-transfer/gse239651_dmso_day69_seed20260916.npz,success,0,0.1586776000003738,,data/derived/b3/evaluation_truth/gse239651_dmso_day69.npz,0.7632222554906667,0.0693790297893027,1.0,0.0511871607876314,0.6064397700106587,0.8021281364766628
GSE239651_expt2,gse239651_dmso_day69,DMSO,69,prescient,20260916,results/B3_prospective_composition/external_dynamics/prescient/gse239651_dmso_day69_seed20260916.npz,success,0,17.763366000000133,,data/derived/b3/evaluation_truth/gse239651_dmso_day69.npz,0.9067866721940832,0.1155175354670177,1.0,0.1581866743059591,0.4850253825976808,0.8021281364766628
GSE239651_expt2,gse239651_dmso_day69,DMSO,69,prescient,20260917,results/B3_prospective_composition/external_dynamics/prescient/gse239651_dmso_day69_seed20260917.npz,success,0,17.281015699999443,,data/derived/b3/evaluation_truth/gse239651_dmso_day69.npz,0.9035112164362826,0.1148593617033118,1.0,0.1563726637811303,0.4868666898477572,0.8021281364766628
GSE239651_expt2,gse239651_dmso_day69,DMSO,69,prescient,20260918,results/B3_prospective_composition/external_dynamics/prescient/gse239651_dmso_day69_seed20260918.npz,success,0,16.85154969999985,,data/derived/b3/evaluation_truth/gse239651_dmso_day69.npz,0.9040541804832004,0.113137478804419,1.0,0.158810373192059,0.4858750746876506,0.8021281364766628
GSE239651_expt2,gse239651_dmso_day69,DMSO,69,prescient,20260919,results/B3_prospective_composition/external_dynamics/prescient/gse239651_dmso_day69_seed20260919.npz,success,0,17.224731799999972,,data/derived/b3/evaluation_truth/gse239651_dmso_day69.npz,0.901981319722351,0.1138840999224217,1.0,0.1561260197453837,0.4877805967397692,0.8021281364766628
GSE239651_expt2,gse239651_dmso_day69,DMSO,69,prescient,20260920,results/B3_prospective_composition/external_dynamics/prescient/gse239651_dmso_day69_seed20260920.npz,success,0,16.87041489999956,,data/derived/b3/evaluation_truth/gse239651_dmso_day69.npz,0.9022455285621018,0.1148544099874131,1.0,0.1551669661087373,0.4866110606416382,0.8021281364766628
GSE239651_expt2,gse239651_dmso_day69,DMSO,69,tigon,20260916,results/B3_prospective_composition/external_dynamics/tigon/gse239651_dmso_day69_seed20260916.npz,success,0,105.98453539999991,,data/derived/b3/evaluation_truth/gse239651_dmso_day69.npz,0.9096970106701734,0.0794703314092915,1.0,0.2037178663332163,0.4877346395953086,0.8021281364766628
GSE239651_expt2,gse239651_dmso_day69,DMSO,69,tigon,20260917,results/B3_prospective_composition/external_dynamics/tigon/gse239651_dmso_day69_seed20260917.npz,success,0,103.9811552000001,,data/derived/b3/evaluation_truth/gse239651_dmso_day69.npz,0.9060121931522171,0.0749670902847424,1.0,0.2022733186015859,0.4922389470481609,0.8021281364766628
GSE239651_expt2,gse239651_dmso_day69,DMSO,69,tigon,20260918,results/B3_prospective_composition/external_dynamics/tigon/gse239651_dmso_day69_seed20260918.npz,success,0,105.9265863999999,,data/derived/b3/evaluation_truth/gse239651_dmso_day69.npz,0.9028858670419416,0.0723898902514691,1.0,0.2023411864973956,0.4925225324865365,0.8021281364766628
GSE239651_expt2,gse239651_dmso_day69,DMSO,69,tigon,20260919,results/B3_prospective_composition/external_dynamics/tigon/gse239651_dmso_day69_seed20260919.npz,success,0,101.50770660000036,,data/derived/b3/evaluation_truth/gse239651_dmso_day69.npz,0.9042311439382232,0.074638090652598,1.0,0.2012983182587824,0.4925440840751736,0.8021281364766628
GSE239651_expt2,gse239651_dmso_day69,DMSO,69,tigon,20260920,results/B3_prospective_composition/external_dynamics/tigon/gse239651_dmso_day69_seed20260920.npz,success,0,104.91881490000014,,data/derived/b3/evaluation_truth/gse239651_dmso_day69.npz,0.9085035893131652,0.0766434869472568,1.0,0.2038049525123659,0.4894688660847203,0.8021281364766628
GSE239651_expt2,gse239651_dmso_day69,DMSO,69,mioflow,20260916,results/B3_prospective_composition/external_dynamics/mioflow/gse239651_dmso_day69_seed20260916.npz,success,0,14.52330400000028,,data/derived/b3/evaluation_truth/gse239651_dmso_day69.npz,0.7872586211634485,0.0907233147857463,1.0,0.0524870644686214,0.6109203265955916,0.8021281364766628
GSE239651_expt2,gse239651_dmso_day69,DMSO,69,mioflow,20260917,results/B3_prospective_composition/external_dynamics/mioflow/gse239651_dmso_day69_seed20260917.npz,success,0,14.84278539999923,,data/derived/b3/evaluation_truth/gse239651_dmso_day69.npz,0.8394467595871631,0.0967490948339089,1.0,0.1043293802992651,0.5354172852577387,0.8021281364766628
GSE239651_expt2,gse239651_dmso_day69,DMSO,69,mioflow,20260918,results/B3_prospective_composition/external_dynamics/mioflow/gse239651_dmso_day69_seed20260918.npz,success,0,13.503484500000011,,data/derived/b3/evaluation_truth/gse239651_dmso_day69.npz,0.7918003016581237,0.0911644217815995,1.0,0.0621905161892407,0.5960795075904457,0.8021281364766628
GSE239651_expt2,gse239651_dmso_day69,DMSO,69,mioflow,20260919,results/B3_prospective_composition/external_dynamics/mioflow/gse239651_dmso_day69_seed20260919.npz,success,0,14.792220300000736,,data/derived/b3/evaluation_truth/gse239651_dmso_day69.npz,0.7843198586891725,0.0678850865180176,1.0,0.0783023425354155,0.5780105851966212,0.8021281364766628
GSE239651_expt2,gse239651_dmso_day69,DMSO,69,mioflow,20260920,results/B3_prospective_composition/external_dynamics/mioflow/gse239651_dmso_day69_seed20260920.npz,success,0,13.586769199999251,,data/derived/b3/evaluation_truth/gse239651_dmso_day69.npz,0.8123924618593176,0.084435427565002,1.0,0.0921960856769879,0.5585920208262981,0.8021281364766628
GSE239651_expt2,gse239651_dmso_day98,DMSO,98,source-carry-forward,20260916,results/B3_prospective_composition/external_dynamics/source-carry-forward/gse239651_dmso_day98_seed20260916.npz,success,0,0.2158336000002236,,data/derived/b3/evaluation_truth/gse239651_dmso_day98.npz,0.994094655963954,0.033227232366992,1.0,0.0368181356973505,0.4926808866583019,0.5987536866494686
GSE239651_expt2,gse239651_dmso_day98,DMSO,98,development-target-transfer,20260916,results/B3_prospective_composition/external_dynamics/development-target-transfer/gse239651_dmso_day98_seed20260916.npz,success,0,0.1661822000005486,,data/derived/b3/evaluation_truth/gse239651_dmso_day98.npz,1.0183799358048429,0.0626060625227409,1.0,0.0171207989199834,0.5181380795350384,0.5987536866494686
GSE239651_expt2,gse239651_dmso_day98,DMSO,98,prescient,20260916,results/B3_prospective_composition/external_dynamics/prescient/gse239651_dmso_day98_seed20260916.npz,success,0,18.396034000000327,,data/derived/b3/evaluation_truth/gse239651_dmso_day98.npz,1.0361537987184122,0.0833812886536702,1.0,0.0315977588730373,0.4613177348043422,0.5987536866494686
GSE239651_expt2,gse239651_dmso_day98,DMSO,98,prescient,20260917,results/B3_prospective_composition/external_dynamics/prescient/gse239651_dmso_day98_seed20260917.npz,success,0,17.86212599999999,,data/derived/b3/evaluation_truth/gse239651_dmso_day98.npz,1.0366309020954825,0.0838291069229871,1.0,0.0312851102595558,0.462554433715145,0.5987536866494686
GSE239651_expt2,gse239651_dmso_day98,DMSO,98,prescient,20260918,results/B3_prospective_composition/external_dynamics/prescient/gse239651_dmso_day98_seed20260918.npz,success,0,17.750324900000123,,data/derived/b3/evaluation_truth/gse239651_dmso_day98.npz,1.0355081935653916,0.0832024685785667,1.0,0.0314164566454223,0.462018745957656,0.5987536866494686
GSE239651_expt2,gse239651_dmso_day98,DMSO,98,prescient,20260919,results/B3_prospective_composition/external_dynamics/prescient/gse239651_dmso_day98_seed20260919.npz,success,0,17.46751789999962,,data/derived/b3/evaluation_truth/gse239651_dmso_day98.npz,1.0345819205947353,0.0839688516455,1.0,0.03004070313915,0.4640391966272524,0.5987536866494686
