experiment,dataset,method,n_states,root,seed,status,ordering,time_auc,jackknife_stability
E3_panels,gse239651_transition_panel,cellrank2,6,1,-1,no_coupling,,,
E3_panels,gse239651_transition_panel,tigon,6,1,20260916,success,-0.028571428571428574,0.5347058901434981,1.0
E3_panels,gse239651_transition_panel,tigon,6,1,20260917,success,-0.028571428571428574,0.5347058901434981,0.9948051948051949
E3_panels,gse239651_transition_panel,tigon,6,1,20260918,success,0.14285714285714288,0.5345456893245129,0.9893439893439894
E3_panels,gse239651_transition_panel,tigon,6,1,20260919,success,-0.028571428571428574,0.5347058901434981,0.9854811854811856
E3_panels,gse239651_transition_panel,tigon,6,1,20260920,success,-0.028571428571428574,0.5347058901434981,1.0
E3_panels,gse239651_transition_panel,mioflow,6,1,20260916,success,0.6,0.6560639957700871,0.9988011988011988
E3_panels,gse239651_transition_panel,mioflow,6,1,20260917,success,0.6571428571428573,0.5586756511564768,0.9998667998667999
E3_panels,gse239651_transition_panel,mioflow,6,1,20260918,success,0.4285714285714286,0.6662460440075979,0.9961371961371962
E3_panels,gse239651_transition_panel,mioflow,6,1,20260919,success,0.7142857142857143,0.6754332680814259,0.9981351981351981
E3_panels,gse239651_transition_panel,mioflow,6,1,20260920,success,0.2,0.6459420546761065,0.9993339993339994
E3_panels,gse239651_transition_panel,prescient,6,1,20260916,success,-0.08571428571428573,0.645444387902979,1.0
E3_panels,gse239651_transition_panel,prescient,6,1,20260917,success,-0.08571428571428573,0.645444387902979,1.0
E3_panels,gse239651_transition_panel,prescient,6,1,20260918,success,-0.08571428571428573,0.645444387902979,1.0
E3_panels,gse239651_transition_panel,prescient,6,1,20260919,success,-0.08571428571428573,0.645444387902979,1.0
E3_panels,gse239651_transition_panel,prescient,6,1,20260920,success,-0.08571428571428573,0.645444387902979,1.0
E3_panels,gse239651_transition_panel,prescient,6,1,-1,baseline,-0.4285714285714286,0.6231874257893265,
E3_panels,macsgestalt_transition_panel,uot_iot,4,2,20260916,success,,0.5577400140616803,0.9952380952380951
E3_panels,macsgestalt_transition_panel,uot_iot,4,2,20260917,success,,0.5577400140616803,0.9952380952380951
E3_panels,macsgestalt_transition_panel,uot_iot,4,2,20260918,success,,0.5577400140616803,0.9952380952380951
E3_panels,macsgestalt_transition_panel,uot_iot,4,2,20260919,success,,0.5577400140616803,0.9952380952380951
E3_panels,macsgestalt_transition_panel,uot_iot,4,2,20260920,success,,0.5577400140616803,0.9952380952380951
E3_panels,macsgestalt_transition_panel,wot,4,2,-1,success,,0.5135395520513618,1.0
E3_panels,macsgestalt_transition_panel,moscot,4,2,-1,success,,0.5135395520513618,1.0
E3_panels,macsgestalt_transition_panel,lineageot,4,2,-1,success,,0.5135395520513618,1.0
E3_panels,macsgestalt_transition_panel,cellrank2,4,2,-1,no_coupling,,,
E3_panels,macsgestalt_transition_panel,tigon,4,2,20260916,success,,0.5135395520513618,0.9857142857142857
E3_panels,macsgestalt_transition_panel,tigon,4,2,20260917,success,,0.5135395520513618,0.9952380952380951
E3_panels,macsgestalt_transition_panel,tigon,4,2,20260918,success,,0.5135395520513618,0.9952380952380951
E3_panels,macsgestalt_transition_panel,tigon,4,2,20260919,success,,0.5135395520513618,0.9857142857142857
E3_panels,macsgestalt_transition_panel,tigon,4,2,20260920,success,,0.5135395520513618,0.9857142857142857
E3_panels,macsgestalt_transition_panel,mioflow,4,2,20260916,success,,0.7145102618784192,0.9761904761904762
E3_panels,macsgestalt_transition_panel,mioflow,4,2,20260917,success,,0.7145102618784192,0.9857142857142859
E3_panels,macsgestalt_transition_panel,mioflow,4,2,20260918,success,,0.7587107238887376,0.9904761904761905
E3_panels,macsgestalt_transition_panel,mioflow,4,2,20260919,success,,0.6409396036924355,0.9952380952380951
E3_panels,macsgestalt_transition_panel,mioflow,4,2,20260920,success,,0.6409396036924355,0.9952380952380951
E3_panels,macsgestalt_transition_panel,prescient,4,2,20260916,success,,0.5135395520513618,0.980952380952381
E3_panels,macsgestalt_transition_panel,prescient,4,2,20260917,success,,0.5135395520513618,0.9857142857142857
E3_panels,macsgestalt_transition_panel,prescient,4,2,20260918,success,,0.5135395520513618,0.9857142857142857
E3_panels,macsgestalt_transition_panel,prescient,4,2,20260919,success,,0.5135395520513618,0.9857142857142857
E3_panels,macsgestalt_transition_panel,prescient,4,2,20260920,success,,0.5135395520513618,0.980952380952381
E3_panels,macsgestalt_transition_panel,prescient,4,2,-1,baseline,,0.7702694839765807,
