benchmark,scenario,sample_size,sample_count,seed,method,runtime_seconds,train_cross_entropy,heldout_coupling_relative_frobenius,minimum_curvature,pure_column_minimum_curvature,restart_direction_variance,theta_true,theta_hat,feature_names,coefficient_cosine,coefficient_spearman,coefficient_sign_accuracy,coefficient_relative_l2
B1_known_truth,identifiable_soft_marginal,medium,2000,20260917,soft_iot,1.0709670000001097,3.3868335961607863,0.0141101646633622,0.2543337140892276,0.2543337140892276,1.916238902879262e-14,"[-0.1126034038166039, 0.3837691628919766, 0.056334376666524126, -0.45032665875836625, 0.43404978177637155, -0.6675888168769086]","[-0.11323926920192251, 0.3846795622742958, 0.03876037926605542, -0.41410482826187434, 0.4300554359255255, -0.6619250368082757]","[""interaction_random"", ""interaction_bilinear"", ""pure_column_0"", ""pure_column_1"", ""pure_column_2"", ""pure_column_3""]",0.9993891962380566,1.0,1.0,0.0349515024553597
B1_known_truth,identifiable_soft_marginal,medium,2000,20260917,hard_ot,0.153737799999817,3.3858447181031126,0.0339287372982511,0.0,0.0,0.1010814282895829,"[-0.1126034038166039, 0.3837691628919766, 0.056334376666524126, -0.45032665875836625, 0.43404978177637155, -0.6675888168769086]","[-0.10778473322619368, 0.38412744301657964, -0.0014701676995163386, -0.10504229050092354, 0.304702007604751, 0.2302715098772711]","[""interaction_random"", ""interaction_bilinear"", ""pure_column_0"", ""pure_column_1"", ""pure_column_2"", ""pure_column_3""]",0.3295995061156788,0.5428571428571429,0.6666666666666666,1.1579296126141017
B1_known_truth,identifiable_soft_marginal,medium,2000,20260918,soft_iot,0.9749675999999,3.394313342535302,0.0167051991257651,0.3291534254046269,0.3291534254046269,7.618648496683025e-15,"[0.17133983853142926, -0.5636106540140907, 0.5628996675290114, 0.18533066901406545, 0.5479194356830239, -0.03957890641688695]","[0.15493194762047016, -0.5594855652786863, 0.5416261778218742, 0.19750838852029393, 0.5408238274653573, -0.021342633847113286]","[""interaction_random"", ""interaction_bilinear"", ""pure_column_0"", ""pure_column_1"", ""pure_column_2"", ""pure_column_3""]",0.9995368749643722,1.0,1.0,0.0304343567577147
B1_known_truth,identifiable_soft_marginal,medium,2000,20260918,hard_ot,0.1368929000000207,3.3932493304059057,0.0464478470486312,0.0,0.0,0.0793811458598071,"[0.17133983853142926, -0.5636106540140907, 0.5628996675290114, 0.18533066901406545, 0.5479194356830239, -0.03957890641688695]","[0.15673531715383107, -0.5653139704986623, 0.020124924922210206, -0.12437817543942761, -0.08473434548515651, 0.14404322525780922]","[""interaction_random"", ""interaction_bilinear"", ""pure_column_0"", ""pure_column_1"", ""pure_column_2"", ""pure_column_3""]",0.4521441527576409,0.1428571428571428,0.5,1.0467624823639403
B1_known_truth,identifiable_soft_marginal,medium,2000,20260919,soft_iot,0.9761579000000892,3.4334377244467014,0.0181263318148039,0.1249358936306066,0.1249358936306066,3.5994748127953885e-13,"[0.2733174066157225, -0.15306449610532066, 0.6707224799683543, -0.18165332428556877, 0.4582913275313151, -0.45713383053933715]","[0.27537885165760445, -0.1500745162643784, 0.6645000441342078, -0.12951186135830756, 0.4607621022262637, -0.4737587295082825]","[""interaction_random"", ""interaction_bilinear"", ""pure_column_0"", ""pure_column_1"", ""pure_column_2"", ""pure_column_3""]",0.9984738178844944,0.942857142857143,1.0,0.0552482056813737
B1_known_truth,identifiable_soft_marginal,medium,2000,20260919,hard_ot,0.1111769999999978,3.4315844112402742,0.0443618739585832,0.0,0.0,0.1422373496909778,"[0.2733174066157225, -0.15306449610532066, 0.6707224799683543, -0.18165332428556877, 0.4582913275313151, -0.45713383053933715]","[0.2763830937402931, -0.15060793855004134, -0.007680277344911418, 0.376805191562182, -0.36252853927194073, 0.1760299654696725]","[""interaction_random"", ""interaction_bilinear"", ""pure_column_0"", ""pure_column_1"", ""pure_column_2"", ""pure_column_3""]",-0.3488767786058773,-0.4857142857142857,0.3333333333333333,1.6424839594990737
B1_known_truth,identifiable_soft_marginal,medium,2000,20260920,soft_iot,0.9443977999999332,3.372749008301708,0.0205997198178066,0.2849015992012482,0.2849015992012482,1.513421867376697e-13,"[0.14919105649098416, -0.2776885860680373, 0.5996432633597822, -0.4480218013752298, 0.5813412791280295, -0.04876286714447537]","[0.13333084760204397, -0.2561060219242465, 0.5685234619001422, -0.44773495870061364, 0.5766822629191737, -0.04359200808155964]","[""interaction_random"", ""interaction_bilinear"", ""pure_column_0"", ""pure_column_1"", ""pure_column_2"", ""pure_column_3""]",0.9995603201034752,0.942857142857143,1.0,0.0296540012991433
B1_known_truth,identifiable_soft_marginal,medium,2000,20260920,hard_ot,0.0874064000001908,3.371018486027192,0.0297066091114038,-8.88178419700125e-10,-8.88178419700125e-10,0.1460841871730005,"[0.14919105649098416, -0.2776885860680373, 0.5996432633597822, -0.4480218013752298, 0.5813412791280295, -0.04876286714447537]","[0.13271309619387217, -0.25097791059265806, -0.3216048869030449, -0.5728191900419305, -0.3701127562583559, -0.015812129091601287]","[""interaction_random"", ""interaction_bilinear"", ""pure_column_0"", ""pure_column_1"", ""pure_column_2"", ""pure_column_3""]",-0.0758335875606693,0.1428571428571428,0.6666666666666666,1.4668562216936392
B1_known_truth,identifiable_soft_marginal,large,10000,20260916,soft_iot,0.9472370000000864,3.2648844538453945,0.0102713758320923,0.2294812202485729,0.2294812202485729,1.3659974755404336e-13,"[0.6251313845525633, -0.3568585574074853, 0.37819975725982546, -0.4847588048698442, 0.247007020679359, -0.20693984270149593]","[0.6173256863010949, -0.3601974692117625, 0.37448817948766266, -0.4697716236932135, 0.24147735879887236, -0.21576614392041032]","[""interaction_random"", ""interaction_bilinear"", ""pure_column_0"", ""pure_column_1"", ""pure_column_2"", ""pure_column_3""]",0.9998579564004916,1.0,1.0,0.016854886502639
B1_known_truth,identifiable_soft_marginal,large,10000,20260916,hard_ot,0.1339743000000908,3.2646601909380566,0.0132257697783976,-1.7763568394002503e-09,-1.7763568394002503e-09,0.0616026736463164,"[0.6251313845525633, -0.3568585574074853, 0.37819975725982546, -0.4847588048698442, 0.247007020679359, -0.20693984270149593]","[0.6172910461968668, -0.36150972207269033, -0.0420826352220764, 0.5704388952095611, 0.07927515366615956, -0.3172587153565883]","[""interaction_random"", ""interaction_bilinear"", ""pure_column_0"", ""pure_column_1"", ""pure_column_2"", ""pure_column_3""]",0.316375537876772,0.3714285714285715,0.6666666666666666,1.1692941991844723
