scenario,sample_size,method,heldout_coupling_mean,coefficient_cosine_mean,coefficient_sign_accuracy_mean,pure_column_minimum_curvature_mean,restart_direction_variance_mean,runtime_seconds
nonlinear_or_hidden_confounding_misspecification,large,soft_iot,0.3518362092630515,0.9217783834411264,0.8333333333333334,0.2404060087890513,6.1110363625984e-14,7.179011000000173
nonlinear_or_hidden_confounding_misspecification,medium,hard_ot,0.3422692498337726,0.4535726768605465,0.7333333333333334,8.881784197001251e-11,0.0858065902009865,0.850890299999719
nonlinear_or_hidden_confounding_misspecification,medium,soft_iot,0.343233471001915,0.9211632809891104,0.8333333333333334,0.2344104227169907,2.27466051876883e-13,5.271519099999978
nonlinear_or_hidden_confounding_misspecification,small,hard_ot,0.3188013376460637,0.429528325549842,0.6666666666666667,-1.7763568394002502e-10,0.083638386097697,0.7896703999999772
nonlinear_or_hidden_confounding_misspecification,small,soft_iot,0.3230440873730345,0.9101878516429072,0.8333333333333334,0.2424698391401136,1.2503322429637812e-13,5.249416300000121
observation_noise_and_dropout,large,hard_ot,0.218473667565636,0.3839194174979938,0.7,0.0,0.09806132005931,0.7171890000001895
observation_noise_and_dropout,large,soft_iot,0.0754054252905249,0.976446361822364,1.0,0.2581162153347804,3.2057235582783725e-13,4.989726499999506
observation_noise_and_dropout,medium,hard_ot,0.1671675858628806,0.3466383908762682,0.7333333333333333,0.0,0.1037112199506172,0.7477722000000995
observation_noise_and_dropout,medium,soft_iot,0.0945995318264426,0.9717133451591164,0.9333333333333332,0.2491398179316206,2.8855548868501853e-13,5.137593900000184
observation_noise_and_dropout,small,hard_ot,0.2328801431662507,0.4202063654225686,0.7333333333333333,-1.7763568394002502e-10,0.1072646725416182,0.7191635000003771
observation_noise_and_dropout,small,soft_iot,0.0760775130023072,0.98673125075818,0.9,0.2436708522957076,2.0492696497822981e-13,5.107249199999842
shared_plus_context_offset,large,hard_ot,0.0157037394567935,0.472157128377438,0.7666666666666666,8.881784197001251e-11,0.1054236232492832,0.7424044000006234
shared_plus_context_offset,large,soft_iot,0.1262813049929343,0.991079089030596,1.0,0.2155665280945129,1.3215665987576494e-13,6.001879599999711
shared_plus_context_offset,medium,hard_ot,0.0385743377874026,0.0449269748525086,0.5333333333333333,0.0,0.1023872392955242,0.7519183999997949
shared_plus_context_offset,medium,soft_iot,0.1302739903442,0.9924968023372304,1.0,0.2222387047723373,1.7160619860487774e-13,5.844088200000442
shared_plus_context_offset,small,hard_ot,0.0918863298436944,0.3557991263955534,0.6333333333333334,0.0,0.1057486972231853,0.7446741000003385
shared_plus_context_offset,small,soft_iot,0.1398209452242274,0.9705413364170994,0.9666666666666666,0.2119266399702724,1.7692290843467e-13,5.033141999999771
