dataset,benchmark,task,split,repeat,seed,method,method_version,metric,value,status,runtime_seconds,peak_memory_gb,failure_reason,artifact
hard_marginal_flat_direction,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,2000,20260916.0,soft_iot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0245554274172476,success,1.1556378999998742,,,
hard_marginal_flat_direction,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,2000,20260916.0,hard_ot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.038107670109363,success,0.1678867000000536,,,
hard_marginal_flat_direction,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,2000,20260917.0,soft_iot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0141101646633622,success,1.0604648999997153,,,
hard_marginal_flat_direction,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,2000,20260917.0,hard_ot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0339287372982511,success,0.1387133999996876,,,
hard_marginal_flat_direction,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,2000,20260918.0,soft_iot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0167051991257651,success,1.0904113000001416,,,
hard_marginal_flat_direction,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,2000,20260918.0,hard_ot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0464478470486312,success,0.160927299999912,,,
hard_marginal_flat_direction,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,2000,20260919.0,soft_iot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0181263318148039,success,0.972682700000405,,,
hard_marginal_flat_direction,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,2000,20260919.0,hard_ot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0443618739585832,success,0.1193326000002343,,,
hard_marginal_flat_direction,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,2000,20260920.0,soft_iot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0205997198178066,success,1.0363537000002907,,,
hard_marginal_flat_direction,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,2000,20260920.0,hard_ot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0297066091114038,success,0.0963798000002498,,,
hard_marginal_flat_direction,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,10000,20260916.0,soft_iot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0102713758320923,success,0.9835258000002796,,,
hard_marginal_flat_direction,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,10000,20260916.0,hard_ot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0132257697783976,success,0.1285948999998254,,,
hard_marginal_flat_direction,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,10000,20260917.0,soft_iot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0081133524744136,success,1.0423848000000362,,,
hard_marginal_flat_direction,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,10000,20260917.0,hard_ot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0221702102194982,success,0.1711081999997077,,,
hard_marginal_flat_direction,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,10000,20260918.0,soft_iot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0057823675716678,success,1.0388536000000386,,,
hard_marginal_flat_direction,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,10000,20260918.0,hard_ot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0317945331356629,success,0.159653299999718,,,
hard_marginal_flat_direction,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,10000,20260919.0,soft_iot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0059571819291357,success,1.0565594999998211,,,
hard_marginal_flat_direction,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,10000,20260919.0,hard_ot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0201150755156233,success,0.1007915999998658,,,
hard_marginal_flat_direction,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,10000,20260920.0,soft_iot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0112907843262237,success,0.9896129000003384,,,
hard_marginal_flat_direction,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,10000,20260920.0,hard_ot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0167491157153561,success,0.1319333000001279,,,
equivalent_fit_multiple_parameters,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,400,20260916.0,soft_iot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0427323550456116,success,1.07515420000027,,,
equivalent_fit_multiple_parameters,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,400,20260916.0,hard_ot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0875453932936106,success,0.0828166999999666,,,
equivalent_fit_multiple_parameters,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,400,20260917.0,soft_iot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0214033771293042,success,0.9713815000000068,,,
equivalent_fit_multiple_parameters,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,400,20260917.0,hard_ot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0605575656889887,success,0.1086900999998761,,,
equivalent_fit_multiple_parameters,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,400,20260918.0,soft_iot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0434081974442864,success,0.8395845000000008,,,
equivalent_fit_multiple_parameters,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,400,20260918.0,hard_ot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.1311706133258216,success,0.0948812999999972,,,
equivalent_fit_multiple_parameters,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,400,20260919.0,soft_iot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0364069158179338,success,1.1241503999999622,,,
equivalent_fit_multiple_parameters,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,400,20260919.0,hard_ot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0705487777894709,success,0.1172025000000758,,,
equivalent_fit_multiple_parameters,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,400,20260920.0,soft_iot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0296928592835332,success,1.0202758999998878,,,
equivalent_fit_multiple_parameters,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,400,20260920.0,hard_ot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.1192635665109429,success,0.1098799000001236,,,
equivalent_fit_multiple_parameters,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,2000,20260916.0,soft_iot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0163441461380098,success,1.0049973999998656,,,
equivalent_fit_multiple_parameters,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,2000,20260916.0,hard_ot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0319856428657565,success,0.1029505999999855,,,
equivalent_fit_multiple_parameters,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,2000,20260917.0,soft_iot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0348825800328826,success,1.0348675000000185,,,
equivalent_fit_multiple_parameters,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,2000,20260917.0,hard_ot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0424517505675177,success,0.1132460000003448,,,
equivalent_fit_multiple_parameters,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,2000,20260918.0,soft_iot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0271331947292079,success,0.920255100000304,,,
