benchmark,dataset,method,seed,runtime_seconds,peak_memory_gb,status,artifact
B1_known_truth,nonlinear_or_hidden_confounding_misspecification,soft_iot,20260918.0,1.1300897999999506,,success,
B1_known_truth,nonlinear_or_hidden_confounding_misspecification,hard_ot,20260918.0,0.1995476000001872,,success,
B1_known_truth,nonlinear_or_hidden_confounding_misspecification,soft_iot,20260919.0,1.08436329999995,,success,
B1_known_truth,nonlinear_or_hidden_confounding_misspecification,hard_ot,20260919.0,0.1443789999998443,,success,
B1_known_truth,nonlinear_or_hidden_confounding_misspecification,soft_iot,20260920.0,0.9798384000000624,,success,
B1_known_truth,nonlinear_or_hidden_confounding_misspecification,hard_ot,20260920.0,0.1209948999999142,,success,
B1_known_truth,nonlinear_or_hidden_confounding_misspecification,soft_iot,20260916.0,1.4587419000004047,,success,
B1_known_truth,nonlinear_or_hidden_confounding_misspecification,hard_ot,20260916.0,0.2454908999998224,,success,
B1_known_truth,nonlinear_or_hidden_confounding_misspecification,soft_iot,20260917.0,1.1241569000003435,,success,
B1_known_truth,nonlinear_or_hidden_confounding_misspecification,hard_ot,20260917.0,0.204494699999941,,success,
B1_known_truth,nonlinear_or_hidden_confounding_misspecification,soft_iot,20260918.0,1.1670874999999796,,success,
B1_known_truth,nonlinear_or_hidden_confounding_misspecification,hard_ot,20260918.0,0.2254143000000112,,success,
B1_known_truth,nonlinear_or_hidden_confounding_misspecification,soft_iot,20260919.0,1.1234731999998075,,success,
B1_known_truth,nonlinear_or_hidden_confounding_misspecification,hard_ot,20260919.0,0.1464865000002646,,success,
B1_known_truth,nonlinear_or_hidden_confounding_misspecification,soft_iot,20260920.0,1.0709382000000005,,success,
B1_known_truth,nonlinear_or_hidden_confounding_misspecification,hard_ot,20260920.0,0.1322454999999536,,success,
B2_lineage_transition,gse239651_transition_panel,UOT-IOT,20260916.0,1.2096544999999423,,success,
B2_lineage_transition,gse239651_transition_panel,UOT-IOT,20260917.0,1.1872864000001755,,success,
B2_lineage_transition,gse239651_transition_panel,UOT-IOT,20260918.0,1.2096050999998624,,success,
B2_lineage_transition,gse239651_transition_panel,UOT-IOT,20260919.0,1.2151920999999677,,success,
B2_lineage_transition,gse239651_transition_panel,UOT-IOT,20260920.0,1.195388499999808,,success,
B2_lineage_transition,macsgestalt_transition_panel,UOT-IOT,20260916.0,0.3401880999999775,,success,
B2_lineage_transition,macsgestalt_transition_panel,UOT-IOT,20260917.0,0.3242322999999487,,success,
B2_lineage_transition,macsgestalt_transition_panel,UOT-IOT,20260918.0,0.366518399999677,,success,
B2_lineage_transition,macsgestalt_transition_panel,UOT-IOT,20260919.0,0.3456639999999424,,success,
B2_lineage_transition,macsgestalt_transition_panel,UOT-IOT,20260920.0,0.3324896999997691,,success,
B2_lineage_transition,gse140802_t2_t16,UOT-IOT,20260916.0,0.9998890000001666,,success,
B2_lineage_transition,gse140802_t2_t16,UOT-IOT,20260917.0,0.9571274999998424,,success,
B2_lineage_transition,gse140802_t2_t16,UOT-IOT,20260918.0,0.8777365000000827,,success,
B2_lineage_transition,gse140802_t2_t16,UOT-IOT,20260919.0,0.9703205999999228,,success,
B2_lineage_transition,gse140802_t2_t16,UOT-IOT,20260920.0,0.8830874999998741,,success,
B2_lineage_transition,gse140802_t2_t9,UOT-IOT,20260916.0,1.4134618000002774,,success,
B2_lineage_transition,gse140802_t2_t9,UOT-IOT,20260917.0,1.3819898000001558,,success,
B2_lineage_transition,gse140802_t2_t9,UOT-IOT,20260918.0,1.3514521000001878,,success,
B2_lineage_transition,gse140802_t2_t9,UOT-IOT,20260919.0,1.4133861000000252,,success,
B2_lineage_transition,gse140802_t2_t9,UOT-IOT,20260920.0,1.3885298000000148,,success,
B2_lineage_transition,gse239651_transition_panel,wot,,3.874419000000216,,success,
B2_lineage_transition,gse239651_transition_panel,moscot,,10.35936730000003,,success,
B2_lineage_transition,gse239651_transition_panel,lineageot,,4.060406099999909,,success,
B2_lineage_transition,gse239651_transition_panel,cellrank2,,18.17139989999987,,success,
B2_lineage_transition,macsgestalt_transition_panel,wot,,3.2780704000001606,,success,
B2_lineage_transition,macsgestalt_transition_panel,moscot,,8.9895247999998,,success,
B2_lineage_transition,macsgestalt_transition_panel,lineageot,,3.2980133000000933,,success,
B2_lineage_transition,macsgestalt_transition_panel,cellrank2,,16.732700900000054,,success,
B2_lineage_transition,gse140802_t2_t16,wot,,3.3637782999999217,,success,
B2_lineage_transition,gse140802_t2_t16,moscot,,8.850090099999761,,success,
B2_lineage_transition,gse140802_t2_t16,lineageot,,4.625729200000023,,success,
B2_lineage_transition,gse140802_t2_t16,cellrank2,,19.560309099999813,,success,
B2_lineage_transition,gse140802_t2_t9,wot,,3.410049699999945,,success,
B2_lineage_transition,gse140802_t2_t9,moscot,,9.358690800000204,,success,
B2_lineage_transition,gse140802_t2_t9,lineageot,,3.2721207999998114,,success,
B2_lineage_transition,gse140802_t2_t9,cellrank2,,16.78689940000004,,success,
B2_lineage_transition,gse239651_transition_panel,mioflow,20260916.0,20.785635199999888,,success,
B2_lineage_transition,gse239651_transition_panel,prescient,20260916.0,12.2056977000002,,success,
B2_lineage_transition,gse239651_transition_panel,tigon,20260916.0,83.49555340000006,,success,
B2_lineage_transition,gse239651_transition_panel,mioflow,20260917.0,15.186479299999974,,success,
B2_lineage_transition,gse239651_transition_panel,prescient,20260917.0,12.208909500000118,,success,
B2_lineage_transition,gse239651_transition_panel,tigon,20260917.0,88.4980099999998,,success,
B2_lineage_transition,gse239651_transition_panel,mioflow,20260918.0,15.013544199999616,,success,
B2_lineage_transition,gse239651_transition_panel,prescient,20260918.0,12.23315360000015,,success,
B2_lineage_transition,gse239651_transition_panel,tigon,20260918.0,89.59955020000007,,success,
B2_lineage_transition,gse239651_transition_panel,mioflow,20260919.0,16.295011199999863,,success,
B2_lineage_transition,gse239651_transition_panel,prescient,20260919.0,12.084383700000217,,success,
B2_lineage_transition,gse239651_transition_panel,tigon,20260919.0,90.81693210000049,,success,
B2_lineage_transition,gse239651_transition_panel,mioflow,20260920.0,14.431510399999752,,success,
B2_lineage_transition,gse239651_transition_panel,prescient,20260920.0,11.99105150000014,,success,
B2_lineage_transition,gse239651_transition_panel,tigon,20260920.0,87.81660160000047,,success,
B2_lineage_transition,macsgestalt_transition_panel,mioflow,20260916.0,11.044323500000246,,success,
B2_lineage_transition,macsgestalt_transition_panel,prescient,20260916.0,4.970087499999863,,success,
B2_lineage_transition,macsgestalt_transition_panel,tigon,20260916.0,19.89577809999992,,success,
B2_lineage_transition,macsgestalt_transition_panel,mioflow,20260917.0,11.484083600000304,,success,
B2_lineage_transition,macsgestalt_transition_panel,prescient,20260917.0,4.637583499999892,,success,
B2_lineage_transition,macsgestalt_transition_panel,tigon,20260917.0,19.72212709999985,,success,
B2_lineage_transition,macsgestalt_transition_panel,mioflow,20260918.0,11.78794199999993,,success,
B2_lineage_transition,macsgestalt_transition_panel,prescient,20260918.0,5.187965800000711,,success,
B2_lineage_transition,macsgestalt_transition_panel,tigon,20260918.0,19.38227749999988,,success,
B2_lineage_transition,macsgestalt_transition_panel,mioflow,20260919.0,11.830186999999569,,success,
B2_lineage_transition,macsgestalt_transition_panel,prescient,20260919.0,4.753263999999945,,success,
B2_lineage_transition,macsgestalt_transition_panel,tigon,20260919.0,20.06999889999952,,success,
B2_lineage_transition,macsgestalt_transition_panel,mioflow,20260920.0,12.103159299999788,,success,
B2_lineage_transition,macsgestalt_transition_panel,prescient,20260920.0,4.769642400000521,,success,
B2_lineage_transition,macsgestalt_transition_panel,tigon,20260920.0,20.34762430000046,,success,
B2_lineage_transition,gse140802_t2_t16,mioflow,20260916.0,12.013453700000357,,success,
B2_lineage_transition,gse140802_t2_t16,prescient,20260916.0,4.76325420000012,,success,
B2_lineage_transition,gse140802_t2_t16,tigon,20260916.0,24.13769130000037,,success,
B2_lineage_transition,gse140802_t2_t16,mioflow,20260917.0,11.470924399999603,,success,
B2_lineage_transition,gse140802_t2_t16,prescient,20260917.0,4.930187599999954,,success,
B2_lineage_transition,gse140802_t2_t16,tigon,20260917.0,23.325883700000304,,success,
B2_lineage_transition,gse140802_t2_t16,mioflow,20260918.0,12.363045500000226,,success,
B2_lineage_transition,gse140802_t2_t16,prescient,20260918.0,4.707105800000136,,success,
B2_lineage_transition,gse140802_t2_t16,tigon,20260918.0,21.92691970000033,,success,
B2_lineage_transition,gse140802_t2_t16,mioflow,20260919.0,11.767347699999846,,success,
B2_lineage_transition,gse140802_t2_t16,prescient,20260919.0,4.738925100000415,,success,
B2_lineage_transition,gse140802_t2_t16,tigon,20260919.0,22.086581900000056,,success,
B2_lineage_transition,gse140802_t2_t16,mioflow,20260920.0,11.402560200000153,,success,
B2_lineage_transition,gse140802_t2_t16,prescient,20260920.0,4.724510500000179,,success,
B2_lineage_transition,gse140802_t2_t16,tigon,20260920.0,23.77054660000067,,success,
B2_lineage_transition,gse140802_t2_t9,mioflow,20260916.0,13.74652270000024,,success,
B2_lineage_transition,gse140802_t2_t9,prescient,20260916.0,6.1162162000000535,,success,
B2_lineage_transition,gse140802_t2_t9,tigon,20260916.0,41.948921600000176,,success,
B2_lineage_transition,gse140802_t2_t9,mioflow,20260917.0,13.662903800000096,,success,
B2_lineage_transition,gse140802_t2_t9,prescient,20260917.0,5.9572438000004695,,success,
B2_lineage_transition,gse140802_t2_t9,tigon,20260917.0,42.25566600000002,,success,
B2_lineage_transition,gse140802_t2_t9,mioflow,20260918.0,13.745216499999517,,success,
B2_lineage_transition,gse140802_t2_t9,prescient,20260918.0,6.154530699999668,,success,
B2_lineage_transition,gse140802_t2_t9,tigon,20260918.0,42.34471649999978,,success,
B2_lineage_transition,gse140802_t2_t9,mioflow,20260919.0,14.100329599999895,,success,
B2_lineage_transition,gse140802_t2_t9,prescient,20260919.0,6.35136059999968,,success,
B2_lineage_transition,gse140802_t2_t9,tigon,20260919.0,42.208458599999176,,success,
B2_lineage_transition,gse140802_t2_t9,mioflow,20260920.0,12.533916000000318,,success,
B2_lineage_transition,gse140802_t2_t9,prescient,20260920.0,6.240835099999458,,success,
B2_lineage_transition,gse140802_t2_t9,tigon,20260920.0,42.86661980000008,,success,
B3_prospective_composition,GSE239651_expt1,PERSIST-IOT,20260916.0,,,success,
B3_prospective_composition,GSE239651_expt1,PERSIST-no-IOT,20260916.0,,,success,
B3_prospective_composition,GSE239651_expt2,PERSIST-IOT,20260916.0,,,success,
B3_prospective_composition,GSE239651_expt2,PERSIST-no-IOT,20260916.0,,,success,
B3_prospective_composition,GSE239651_expt2,source-carry-forward,20260916.0,0.1561231999994561,,success,
B3_prospective_composition,GSE239651_expt2,development-target-transfer,20260916.0,0.1614518000005773,,success,
B3_prospective_composition,GSE239651_expt2,prescient,20260916.0,16.968943099999706,,success,
B3_prospective_composition,GSE239651_expt2,prescient,20260917.0,16.857099100000596,,success,
B3_prospective_composition,GSE239651_expt2,prescient,20260918.0,17.230403200000183,,success,
B3_prospective_composition,GSE239651_expt2,prescient,20260919.0,17.66758740000023,,success,
B3_prospective_composition,GSE239651_expt2,prescient,20260920.0,18.999660499999663,,success,
B3_prospective_composition,GSE239651_expt2,tigon,20260916.0,115.63007089999974,,success,
B3_prospective_composition,GSE239651_expt2,tigon,20260917.0,115.80890920000002,,success,
B3_prospective_composition,GSE239651_expt2,tigon,20260918.0,117.5844432999993,,success,
B3_prospective_composition,GSE239651_expt2,tigon,20260919.0,120.40731559999948,,success,
B3_prospective_composition,GSE239651_expt2,tigon,20260920.0,117.94565039999998,,success,
B3_prospective_composition,GSE239651_expt2,mioflow,20260916.0,14.598558699999558,,success,
B3_prospective_composition,GSE239651_expt2,mioflow,20260917.0,13.951207300000531,,success,
B3_prospective_composition,GSE239651_expt2,mioflow,20260918.0,12.65088199999991,,success,
B3_prospective_composition,GSE239651_expt2,mioflow,20260919.0,13.814521600000262,,success,
B3_prospective_composition,GSE239651_expt2,mioflow,20260920.0,12.666965100000198,,success,
B3_prospective_composition,GSE239651_expt2,source-carry-forward,20260916.0,0.1849554000000353,,success,
B3_prospective_composition,GSE239651_expt2,development-target-transfer,20260916.0,0.1975183000004108,,success,
B3_prospective_composition,GSE239651_expt2,prescient,20260916.0,18.23375170000054,,success,
B3_prospective_composition,GSE239651_expt2,prescient,20260917.0,17.320406599999842,,success,
B3_prospective_composition,GSE239651_expt2,prescient,20260918.0,17.21284259999993,,success,
B3_prospective_composition,GSE239651_expt2,prescient,20260919.0,17.633608499999355,,success,
