dataset,method,seed,status,runtime_seconds,artifact,coupling_relative_frobenius,transition_weighted_l1,fate_pearson,fate_spearman,fate_top1_accuracy,objective
gse140802_t2_t9,tigon,20260917,success,42.25566600000002,results/B2_lineage_transition/tigon/gse140802_t2_t9_seed20260917.npz,0.9982413821611922,0.1524876667543909,0.5244607500097886,0.5319742370616225,0.5526315789473685,
gse140802_t2_t9,mioflow,20260918,success,13.745216499999517,results/B2_lineage_transition/mioflow/gse140802_t2_t9_seed20260918.npz,0.9979621503877042,0.1587594390841115,0.5184957074281172,0.5305098878431908,0.5526315789473685,
gse140802_t2_t9,prescient,20260918,success,6.154530699999668,results/B2_lineage_transition/prescient/gse140802_t2_t9_seed20260918.npz,0.9970729972402402,0.026131759999358,0.5392771694323856,0.5289425066240131,0.5526315789473685,
gse140802_t2_t9,tigon,20260918,success,42.34471649999978,results/B2_lineage_transition/tigon/gse140802_t2_t9_seed20260918.npz,0.9982429368571444,0.1524757148810291,0.5244415169912201,0.5324268658293035,0.5526315789473685,
gse140802_t2_t9,mioflow,20260919,success,14.100329599999895,results/B2_lineage_transition/mioflow/gse140802_t2_t9_seed20260919.npz,0.997843003498772,0.144721163912868,0.5230953087251339,0.5297222697884598,0.5526315789473685,
gse140802_t2_t9,prescient,20260919,success,6.35136059999968,results/B2_lineage_transition/prescient/gse140802_t2_t9_seed20260919.npz,0.9971257777717668,0.0311385332344679,0.5443327544981922,0.530476594663815,0.5526315789473685,
gse140802_t2_t9,tigon,20260919,success,42.208458599999176,results/B2_lineage_transition/tigon/gse140802_t2_t9_seed20260919.npz,0.9982425935671608,0.1523226551068403,0.5245765493452326,0.5316546308176608,0.5526315789473685,
gse140802_t2_t9,mioflow,20260920,success,12.533916000000318,results/B2_lineage_transition/mioflow/gse140802_t2_t9_seed20260920.npz,0.9981916210019997,0.1748665945271663,0.511146297378903,0.5044788677468828,0.2434210526315789,
gse140802_t2_t9,prescient,20260920,success,6.240835099999458,results/B2_lineage_transition/prescient/gse140802_t2_t9_seed20260920.npz,0.9972446330235925,0.0257531387747524,0.5500566576323485,0.5395875911639605,0.5526315789473685,
gse140802_t2_t9,tigon,20260920,success,42.86661980000008,results/B2_lineage_transition/tigon/gse140802_t2_t9_seed20260920.npz,0.998243736860358,0.152423661141033,0.5245675066070653,0.5326905306015322,0.5526315789473685,
gse239651_transition_panel,UOT-IOT,20260916,success,1.2096544999999423,results/B2_lineage_transition/uot_iot/gse239651_transition_panel_seed20260916.npz,0.9981903108580128,0.0951153419028303,0.4787361542456028,0.5112475264202239,0.3962703962703963,1.3796775284728393
gse239651_transition_panel,UOT-IOT,20260917,success,1.1872864000001755,results/B2_lineage_transition/uot_iot/gse239651_transition_panel_seed20260917.npz,0.998190310911833,0.0951156677659977,0.4787360817298395,0.5108023198928917,0.3962703962703963,1.3796775284728575
gse239651_transition_panel,UOT-IOT,20260918,success,1.2096050999998624,results/B2_lineage_transition/uot_iot/gse239651_transition_panel_seed20260918.npz,0.9981903108895868,0.0951155151281439,0.478736115647362,0.5111729914765657,0.3962703962703963,1.3796775284728493
gse239651_transition_panel,UOT-IOT,20260919,success,1.2151920999999677,results/B2_lineage_transition/uot_iot/gse239651_transition_panel_seed20260919.npz,0.998190310870727,0.0951153868050402,0.4787361441121345,0.5113212497037449,0.3962703962703963,1.3796775284728668
gse239651_transition_panel,UOT-IOT,20260920,success,1.195388499999808,results/B2_lineage_transition/uot_iot/gse239651_transition_panel_seed20260920.npz,0.9981903108864354,0.0951155082735286,0.4787361171020095,0.512172803610128,0.3962703962703963,1.3796775284728438
macsgestalt_transition_panel,UOT-IOT,20260916,success,0.3401880999999775,results/B2_lineage_transition/uot_iot/macsgestalt_transition_panel_seed20260916.npz,0.8021728510836154,0.3322085350486563,0.4037133931804976,0.409393221225753,0.5476190476190477,0.5535326801695726
macsgestalt_transition_panel,UOT-IOT,20260917,success,0.3242322999999487,results/B2_lineage_transition/uot_iot/macsgestalt_transition_panel_seed20260917.npz,0.8021728506771723,0.3322085362872843,0.4037134004495707,0.4093784245381994,0.5476190476190477,0.5535326801695737
macsgestalt_transition_panel,UOT-IOT,20260918,success,0.366518399999677,results/B2_lineage_transition/uot_iot/macsgestalt_transition_panel_seed20260918.npz,0.8021728491033728,0.3322085367587918,0.4037134011405447,0.4090126247617452,0.5476190476190477,0.5535326801695716
macsgestalt_transition_panel,UOT-IOT,20260919,success,0.3456639999999424,results/B2_lineage_transition/uot_iot/macsgestalt_transition_panel_seed20260919.npz,0.8021728499429494,0.3322085380403349,0.4037134092397098,0.4085913456423439,0.5476190476190477,0.5535326801695947
macsgestalt_transition_panel,UOT-IOT,20260920,success,0.3324896999997691,results/B2_lineage_transition/uot_iot/macsgestalt_transition_panel_seed20260920.npz,0.8021728485972119,0.3322085363145715,0.4037134023415135,0.4087984790783026,0.5476190476190477,0.55353268016958
gse140802_t2_t16,UOT-IOT,20260916,success,0.9998890000001666,results/B2_lineage_transition/uot_iot/gse140802_t2_t16_seed20260916.npz,0.9874996653580814,0.0107461842228854,0.6855422778990485,0.616007979755324,0.55,1.491727984526643
gse140802_t2_t16,UOT-IOT,20260917,success,0.9571274999998424,results/B2_lineage_transition/uot_iot/gse140802_t2_t16_seed20260917.npz,0.9874996653580814,0.0107461842228854,0.6855422778990484,0.6110366997961014,0.55,1.4917279845266496
gse140802_t2_t16,UOT-IOT,20260918,success,0.8777365000000827,results/B2_lineage_transition/uot_iot/gse140802_t2_t16_seed20260918.npz,0.9874996653580814,0.0107461842228854,0.6855422778990484,0.6080058943575364,0.55,1.4917279845266225
gse140802_t2_t16,UOT-IOT,20260919,success,0.9703205999999228,results/B2_lineage_transition/uot_iot/gse140802_t2_t16_seed20260919.npz,0.9874996653580814,0.0107461842228854,0.6855422778990485,0.6169133579581954,0.55,1.4917279845266438
gse140802_t2_t16,UOT-IOT,20260920,success,0.8830874999998741,results/B2_lineage_transition/uot_iot/gse140802_t2_t16_seed20260920.npz,0.9874996653580814,0.0107461842228854,0.6855422778990484,0.6096720439090709,0.55,1.4917279845266394
gse140802_t2_t9,UOT-IOT,20260916,success,1.4134618000002774,results/B2_lineage_transition/uot_iot/gse140802_t2_t9_seed20260916.npz,0.995808566288555,0.0150171352657198,0.5449431551874835,0.5359660819469549,0.5526315789473685,1.6857876611716351
gse140802_t2_t9,UOT-IOT,20260917,success,1.3819898000001558,results/B2_lineage_transition/uot_iot/gse140802_t2_t9_seed20260917.npz,0.995808566288555,0.0150171352657198,0.5449431551874835,0.534325798976456,0.5526315789473685,1.6857876611716585
gse140802_t2_t9,UOT-IOT,20260918,success,1.3514521000001878,results/B2_lineage_transition/uot_iot/gse140802_t2_t9_seed20260918.npz,0.995808566288555,0.0150171352657198,0.5449431551874835,0.5358707695380804,0.5526315789473685,1.6857876611716394
gse140802_t2_t9,UOT-IOT,20260919,success,1.4133861000000252,results/B2_lineage_transition/uot_iot/gse140802_t2_t9_seed20260919.npz,0.995808566288555,0.0150171352657198,0.5449431551874835,0.53586267451377,0.5526315789473685,1.685787661171636
gse140802_t2_t9,UOT-IOT,20260920,success,1.3885298000000148,results/B2_lineage_transition/uot_iot/gse140802_t2_t9_seed20260920.npz,0.995808566288555,0.0150171352657198,0.5449431551874835,0.5366456855786991,0.5526315789473685,1.6857876611716305
