dataset,method,seed,artifact,log,status,returncode,runtime_seconds,failure_reason,metrics
gse140802_t2_t16,tigon,20260919,results/B2_lineage_transition/tigon/gse140802_t2_t16_seed20260919.npz,results/B2_lineage_transition/logs/tigon/gse140802_t2_t16_seed20260919.log,success,0,22.086581900000056,,results/B2_lineage_transition/tigon/gse140802_t2_t16_seed20260919_metrics.json
gse140802_t2_t16,mioflow,20260920,results/B2_lineage_transition/mioflow/gse140802_t2_t16_seed20260920.npz,results/B2_lineage_transition/logs/mioflow/gse140802_t2_t16_seed20260920.log,success,0,11.402560200000153,,results/B2_lineage_transition/mioflow/gse140802_t2_t16_seed20260920_metrics.json
gse140802_t2_t16,prescient,20260920,results/B2_lineage_transition/prescient/gse140802_t2_t16_seed20260920.npz,results/B2_lineage_transition/logs/prescient/gse140802_t2_t16_seed20260920.log,success,0,4.724510500000179,,results/B2_lineage_transition/prescient/gse140802_t2_t16_seed20260920_metrics.json
gse140802_t2_t16,tigon,20260920,results/B2_lineage_transition/tigon/gse140802_t2_t16_seed20260920.npz,results/B2_lineage_transition/logs/tigon/gse140802_t2_t16_seed20260920.log,success,0,23.77054660000067,,results/B2_lineage_transition/tigon/gse140802_t2_t16_seed20260920_metrics.json
gse140802_t2_t9,mioflow,20260916,results/B2_lineage_transition/mioflow/gse140802_t2_t9_seed20260916.npz,results/B2_lineage_transition/logs/mioflow/gse140802_t2_t9_seed20260916.log,success,0,13.74652270000024,,results/B2_lineage_transition/mioflow/gse140802_t2_t9_seed20260916_metrics.json
gse140802_t2_t9,prescient,20260916,results/B2_lineage_transition/prescient/gse140802_t2_t9_seed20260916.npz,results/B2_lineage_transition/logs/prescient/gse140802_t2_t9_seed20260916.log,success,0,6.1162162000000535,,results/B2_lineage_transition/prescient/gse140802_t2_t9_seed20260916_metrics.json
gse140802_t2_t9,tigon,20260916,results/B2_lineage_transition/tigon/gse140802_t2_t9_seed20260916.npz,results/B2_lineage_transition/logs/tigon/gse140802_t2_t9_seed20260916.log,success,0,41.948921600000176,,results/B2_lineage_transition/tigon/gse140802_t2_t9_seed20260916_metrics.json
gse140802_t2_t9,mioflow,20260917,results/B2_lineage_transition/mioflow/gse140802_t2_t9_seed20260917.npz,results/B2_lineage_transition/logs/mioflow/gse140802_t2_t9_seed20260917.log,success,0,13.662903800000096,,results/B2_lineage_transition/mioflow/gse140802_t2_t9_seed20260917_metrics.json
gse140802_t2_t9,prescient,20260917,results/B2_lineage_transition/prescient/gse140802_t2_t9_seed20260917.npz,results/B2_lineage_transition/logs/prescient/gse140802_t2_t9_seed20260917.log,success,0,5.9572438000004695,,results/B2_lineage_transition/prescient/gse140802_t2_t9_seed20260917_metrics.json
gse140802_t2_t9,tigon,20260917,results/B2_lineage_transition/tigon/gse140802_t2_t9_seed20260917.npz,results/B2_lineage_transition/logs/tigon/gse140802_t2_t9_seed20260917.log,success,0,42.25566600000002,,results/B2_lineage_transition/tigon/gse140802_t2_t9_seed20260917_metrics.json
gse140802_t2_t9,mioflow,20260918,results/B2_lineage_transition/mioflow/gse140802_t2_t9_seed20260918.npz,results/B2_lineage_transition/logs/mioflow/gse140802_t2_t9_seed20260918.log,success,0,13.745216499999517,,results/B2_lineage_transition/mioflow/gse140802_t2_t9_seed20260918_metrics.json
gse140802_t2_t9,prescient,20260918,results/B2_lineage_transition/prescient/gse140802_t2_t9_seed20260918.npz,results/B2_lineage_transition/logs/prescient/gse140802_t2_t9_seed20260918.log,success,0,6.154530699999668,,results/B2_lineage_transition/prescient/gse140802_t2_t9_seed20260918_metrics.json
gse140802_t2_t9,tigon,20260918,results/B2_lineage_transition/tigon/gse140802_t2_t9_seed20260918.npz,results/B2_lineage_transition/logs/tigon/gse140802_t2_t9_seed20260918.log,success,0,42.34471649999978,,results/B2_lineage_transition/tigon/gse140802_t2_t9_seed20260918_metrics.json
gse140802_t2_t9,mioflow,20260919,results/B2_lineage_transition/mioflow/gse140802_t2_t9_seed20260919.npz,results/B2_lineage_transition/logs/mioflow/gse140802_t2_t9_seed20260919.log,success,0,14.100329599999895,,results/B2_lineage_transition/mioflow/gse140802_t2_t9_seed20260919_metrics.json
gse140802_t2_t9,prescient,20260919,results/B2_lineage_transition/prescient/gse140802_t2_t9_seed20260919.npz,results/B2_lineage_transition/logs/prescient/gse140802_t2_t9_seed20260919.log,success,0,6.35136059999968,,results/B2_lineage_transition/prescient/gse140802_t2_t9_seed20260919_metrics.json
gse140802_t2_t9,tigon,20260919,results/B2_lineage_transition/tigon/gse140802_t2_t9_seed20260919.npz,results/B2_lineage_transition/logs/tigon/gse140802_t2_t9_seed20260919.log,success,0,42.208458599999176,,results/B2_lineage_transition/tigon/gse140802_t2_t9_seed20260919_metrics.json
gse140802_t2_t9,mioflow,20260920,results/B2_lineage_transition/mioflow/gse140802_t2_t9_seed20260920.npz,results/B2_lineage_transition/logs/mioflow/gse140802_t2_t9_seed20260920.log,success,0,12.533916000000318,,results/B2_lineage_transition/mioflow/gse140802_t2_t9_seed20260920_metrics.json
gse140802_t2_t9,prescient,20260920,results/B2_lineage_transition/prescient/gse140802_t2_t9_seed20260920.npz,results/B2_lineage_transition/logs/prescient/gse140802_t2_t9_seed20260920.log,success,0,6.240835099999458,,results/B2_lineage_transition/prescient/gse140802_t2_t9_seed20260920_metrics.json
gse140802_t2_t9,tigon,20260920,results/B2_lineage_transition/tigon/gse140802_t2_t9_seed20260920.npz,results/B2_lineage_transition/logs/tigon/gse140802_t2_t9_seed20260920.log,success,0,42.86661980000008,,results/B2_lineage_transition/tigon/gse140802_t2_t9_seed20260920_metrics.json
